R;G;B;A;Count
213;130;33;25;1
207;117;25;75;1
204;113;22;109;1
203;112;21;145;1
240;102;4;205;22
240;103;5;208;18
206;118;24;151;2
207;118;25;120;1
206;116;24;98;1
202;108;20;89;1
195;97;13;90;1
185;78;3;63;1
183;75;1;40;2
245;185;66;6;11
231;160;51;13;1
222;144;42;24;1
217;135;36;43;1
212;128;32;65;1
210;124;30;90;1
210;124;29;120;1
211;126;28;158;2
240;104;6;210;16
245;185;66;210;18
245;185;66;209;19
206;117;24;125;1
207;118;25;93;2
207;120;27;66;1
204;113;23;54;1
191;89;9;59;1
245;185;66;192;1
182;73;0;44;1
182;73;0;29;1
210;122;29;11;8
204;112;23;25;3
202;108;20;47;1
200;106;19;72;1
202;108;20;96;1
210;124;29;146;1
212;128;31;157;1
214;131;32;164;1
188;84;6;212;4
240;105;6;212;21
209;123;27;135;1
211;125;30;105;1
211;126;31;76;1
212;127;31;52;1
212;127;31;35;1
203;110;21;22;1
196;98;15;17;5
194;95;13;13;8
190;88;8;56;4
190;89;8;86;2
218;138;38;82;1
226;152;45;70;1
227;154;46;71;1
220;141;39;82;1
212;128;31;95;1
206;117;24;109;2
197;102;15;94;1
196;98;14;69;2
197;100;16;44;2
200;106;18;23;3
190;88;9;23;6
191;89;10;46;4
242;141;34;197;7
207;120;25;125;1
212;129;31;125;1
215;134;34;131;1
215;133;33;142;1
212;129;31;158;1
242;144;36;207;15
198;102;15;115;1
202;108;21;41;2
207;117;26;18;1
235;167;56;5;5
198;102;16;16;5
197;100;16;30;1
197;100;15;51;1
198;102;17;77;1
201;107;19;106;1
204;113;22;135;1
187;82;5;207;4
188;84;7;213;2
241;110;10;225;9
241;111;11;231;6
243;148;39;235;8
243;149;39;238;3
245;185;66;239;12
245;185;66;238;15
245;185;66;235;13
242;147;38;225;3
190;87;8;218;4
203;111;21;139;1
199;106;17;105;1
198;102;17;73;1
197;101;16;46;2
221;142;40;12;1
215;133;35;24;2
211;126;31;43;1
208;120;27;71;3
207;118;25;104;1
245;185;66;216;27
241;106;8;216;12
188;83;6;210;3
210;124;28;147;1
208;120;26;127;2
203;111;21;114;1
197;101;15;113;2
186;80;4;71;1
185;80;4;46;1
232;162;52;11;1
225;150;45;21;3
218;137;37;40;1
213;129;32;64;1
211;127;31;94;1
211;125;30;126;1
245;185;66;217;22
241;105;7;214;12
209;123;27;155;1
207;119;26;98;2
199;103;17;64;1
195;96;13;61;2
209;122;29;18;2
204;112;23;37;2
202;107;20;66;3
201;108;20;98;1
215;134;34;166;2
219;141;37;172;1
212;129;31;138;1
211;126;30;104;1
214;130;33;73;1
215;132;34;46;1
217;134;36;29;1
216;134;36;19;2
195;95;13;20;4
192;91;10;42;2
192;91;10;74;2
192;90;10;111;1
186;80;4;204;5
212;128;31;130;1
220;142;40;113;1
227;154;46;107;2
222;146;41;117;1
215;134;34;133;1
198;103;16;97;1
198;103;16;63;1
206;116;25;17;5
194;95;12;68;2
203;112;21;132;1
207;119;25;140;1
212;128;31;148;1
215;135;34;156;1
219;142;38;173;1
189;86;8;216;2
242;144;36;210;14
200;107;19;130;1
202;109;21;88;1
204;113;23;53;1
211;125;31;26;1
227;152;47;10;2
193;94;11;71;1
241;109;10;223;14
243;149;39;236;3
243;150;40;242;5
245;185;66;245;14
245;185;66;246;11
245;185;66;241;11
242;147;38;229;6
241;109;9;222;6
195;97;14;102;1
194;95;12;67;2
194;94;12;40;2
226;150;46;9;1
213;128;31;39;2
209;121;28;65;1
208;120;25;135;1
245;185;66;223;17
245;185;66;224;17
210;125;29;156;1
205;116;23;143;1
186;80;4;74;1
224;148;44;18;2
219;138;38;33;1
214;131;33;57;1
211;127;31;89;1
211;127;30;124;1
241;107;8;218;11
241;110;10;226;8
245;185;66;225;11
241;108;9;221;7
207;119;25;132;1
205;114;23;103;1
202;107;20;81;1
197;101;15;65;1
192;91;11;54;1
187;83;5;46;3
187;81;5;37;2
222;144;42;10;1
209;121;28;25;1
204;111;22;50;3
202;110;21;84;1
